study_id,first_author,year,title,journal,doi,publication_type,country,study_design,enrollment_start,enrollment_end,setting,cyst_selection,n_patients,n_cysts,age_value,age_type,male_pct,cyst_size_mean_cm,cyst_size_range,n_bosniak_I,n_bosniak_II,n_bosniak_IIF,n_bosniak_III,n_bosniak_IV,malignancy_rate,reference_standard,bosniak_version,imaging_modalities,ct_detector,ct_contrast_phases,mr_field_strength,mr_sequences,ceus_agent,ceus_MI_reported
Ascenti_2007,Ascenti,2007,Complex cystic renal masses: characterization with contrast-enhanced US.,Radiology,10.1148/radiol.2431051924,journal_article,Italy,prospective,2001-03,2004-01,single_center,consecutive,40,44,,,57.5,3.5,1-7 cm,0,,,,,,"surgery (9 patients) and imaging follow-up (31 patients, 12-24 months)",2005,"['CEUS', 'CT']","single-detector (Somatom Plus 4, n=9) and multi-detector row (Somatom Sensation 16, n=31)","triphasic (unenhanced, corticomedullary 25-30s, nephrographic 85-100s, excretory 8-13min)",,,"SonoVue (sulfur hexafluoride, Bracco)",0.35-0.55 kPa (low acoustic pressure)
Israel_2004,Israel,2004,Evaluation of cystic renal masses: comparison of CT and MR imaging by using the Bosniak classification system.,Radiology,10.1148/radiol.2312031025,journal_article,USA,retrospective,1996-01,2002-12,"NYU Medical Center, New York, USA (single center, with some external referrals)","Patients referred for MR imaging of kidneys with 'cyst' or 'cystic neoplasm' in final assessment, cross-referenced with those who also had dedicated CT within 1 year of MRI. Excluded: 4 lesions with indeterminate CT enhancement diagnosed as simple cysts at MRI.",59,69,60.4,mean,64.4,,,15,16,10,19,9,,"Surgical pathology (n=25: 20 malignant, 5 benign); follow-up imaging for non-surgical lesions",2005 (original with IIF),"['CT', 'MRI']",HiSpeed Advantage or CT/i (GE) or Volume Zoom (Siemens); 2.5-5.0mm section thickness,unenhanced and contrast-enhanced (90s delay),1.5T (Siemens Vision or Symphony; 2 patients at 1.0T outside),"T1W gradient-echo, T2W half-Fourier single-shot turbo spin-echo, 3D fat-suppressed T1W VIBE (pre and 3-5min post gadopentetate dimeglumine 20mL); subtraction imaging",,
Ferreira_2016,Ferreira,2016,MRI evaluation of complex renal cysts using the Bosniak classification: a comparison to CT.,Abdominal Radiology (New York),10.1007/s00261-016-0797-5,journal_article,Brazil,retrospective,2003-01,2015-07,,,37,42,51.4,mean,59.4,3.7,1.1-9.0 cm,,,,,,,histopathology (Bosniak III/IV) or follow-up >=24 months (Bosniak II/IIF),2005,"CT, MRI",,,,,,
Graumann_2016,Graumann,2016,"Bosniak classification system: a prospective comparison of CT, contrast-enhanced US, and MR for categorizing complex renal cystic masses.","Acta radiologica (Stockholm, Sweden : 1987)",10.1177/0284185115588124,journal_article,Denmark,prospective,2011-02,2012-06,"Urology clinic, Fredericia Hospital, Fredericia, Denmark (single center)","Consecutive patients from Urology clinic with complex renal cyst Bosniak >=II on prior triple-phase CT, normal kidney function (eGFR >60). Excluded: contrast allergy, CI to MRI/CEUS, prior renal surgery/biopsy, pregnancy/breastfeeding.",44,46,,,56.8,3.3,0.8-13.0 cm,0,27,6,7,6,,"CT consensus by three radiologists (25, 20, 5 years experience) as gold standard; pathology available for 6 surgical lesions",2005 (original),"['CT', 'MRI', 'CEUS']",64-channel (GE LightSpeed VCT),"unenhanced, corticomedullary (10s post-trigger), nephrographic (80s post-trigger)",1.5T (Philips Achieva),"T2 TSE (transversal/coronal), 3D fat-suppressed T1W THRIVE (pre-contrast, corticomedullary 25s, nephrographic 55s)","SonoVue (sulfur hexafluoride, Bracco)",
Graumann_2015,Graumann,2015,Bosniak classification system: inter-observer and intra-observer agreement among experienced uroradiologists.,"Acta radiologica (Stockholm, Sweden : 1987)",10.1177/0284185114529562,journal_article,Denmark,retrospective,2003-01,2009-12,"Hospital Littlebelt, Fredericia Hospital, Denmark (single center)","100 consecutive cystic renal masses selected from 550 complex renal cysts identified from 8402 CT examinations; random sampling of 120 cases from each Bosniak category (BI n=30, BII n=30, BIIF n=30, BIII n=30), plus 30 consecutive BI lesions; final 100 randomly selected from 150",100,100,64,mean,52,4.3,1.5-12 cm,19,27,13,19,22,,Consensus gold standard established by two experienced uroradiologists (Readers B and C),2005 (original with IIF from 1993),['CT'],"4-slice (SOMATOM Sensation 4, Siemens)","unenhanced, corticomedullary (10s post-trigger), nephrographic (65s post-trigger); occasional excretory phase",,,,
Rosenkrantz_2014,Rosenkrantz,2014,Complex cystic renal masses: comparison of cyst complexity and Bosniak classification between 1.5 T and 3 T MRI.,European Journal of Radiology,10.1016/j.ejrad.2013.11.013,journal_article,USA,"retrospective, single-center",2005-01,2012-12,"NYU Langone Medical Center, New York",Cystic renal lesion with at least minimal complexity undergoing contrast-enhanced MRI at both 1.5T and 3.0T within 1 year; entirely simple cysts excluded,26,33,61,mean +/- SD (13),65.4,3.1,,,,,,,,only 2/33 lesions had surgical/pathologic correlation; no formal comparison performed,original Bosniak (pre-2019),"['MRI 1.5T', 'MRI 3.0T']",,,"1.5T (Avanto/Symphony/Sonata, Siemens) and 3.0T (Trio, Siemens)","in-/opposed-phase T1w, HASTE T2w, 3D fat-suppressed T1w pre/post gadopentetate dimeglumine (Magnevist 0.1 mmol/kg at 2 cc/s); corticomedullary/nephrographic/excretory with subtraction",,
El-Mokadem_2014,El-Mokadem,2014,"Progression, interobserver agreement, and malignancy rate in complex renal cysts ( â‰¥ Bosniak category IIF).",Urologic Oncology,10.1016/j.urolonc.2012.08.018,journal_article,UK (Scotland),retrospective,2000-01,2010-12,"single institution, Ninewells Hospital, Dundee","complex cystic renal masses (>=Bosniak IIF) identified via MDT records, radiology database, hospital records; simple cysts included for interobserver analysis only",143,154,66.6,mean,66.9,4.47,0.8-18,0,20,78,31,25,74.5,histopathology (surgical excision) and/or imaging follow-up,original (1993/2005),"['CT', 'MRI']",,"['precontrast', 'nephrographic (100s)']",,,,
Ragel_2016,Ragel,2016,Prospective comparison of use of contrast-enhanced ultrasound and contrast-enhanced computed tomography in the Bosniak classification of complex renal cysts.,"Ultrasound (Leeds, England)",10.1177/1742271X15626959,journal_article,United Kingdom,prospective,2009-07,2011-07,"Aintree University Hospital, Liverpool",Patients referred for complex renal cysts requiring further characterization,46,51,61.2,mean (range 36-94),58.7,3.4,1.1-10.7 cm,,,,,,,"histology (n=3, all malignant), CT follow-up 6-24 months (n=22 stable), gold standard CT (n=27 deemed benign)",original Bosniak (pre-2019),"['CECT', 'CEUS']",Toshiba Asteion 4-slice (n=13) then Toshiba Aquillion 160-slice (n=33),"corticomedullary (70s), nephrographic (3 min); 95-100 mL Omnipaque 300 at 2.5-3.5 mL/s",,,SonoVue (2.4 mL bolus + 10 mL saline),
Quaia_2008,Quaia,2008,Comparison of contrast-enhanced sonography with unenhanced sonography and contrast-enhanced CT in the diagnosis of malignancy in complex cystic renal masses.,American Journal of Roentgenology,10.2214/AJR.07.3546,journal_article,Italy,"retrospective, single-center",2001-05,2007-05,"Cattinara Hospital, University of Trieste","Complex cystic renal masses (2-8 cm) at contrast-enhanced CT; excluded simple cysts, suboptimal CT/CEUS quality",40,40,62,mean +/- SD (11); median 64; range 29-84,45,4.3,2-8 cm,0,9,7,12,12,52.5,"surgical pathology (Bosniak III/IV, n=28) or imaging follow-up 12-24 months (II/IIF, n=12; 4 progressed and resected)",original Bosniak (pre-2019),"['CEUS', 'US', 'CT']","single-detector (TomoScan Ave1, Philips, n=21) or MDCT 64-slice (Aquilion, Toshiba, n=19)","unenhanced, corticomedullary (30s), nephrographic (90-110s); 120-140 mL iomeprol at 2-3 mL/s",,,"SonoVue (sulfur hexafluoride, Bracco; 2.4 mL bolus)",0.09-0.14
Bertolotto_2015,Bertolotto,2015,Renal Masses With Equivocal Enhancement at CT: Characterization With Contrast-Enhanced Ultrasound.,American Journal of Roentgenology,10.2214/AJR.14.13375,journal_article,Italy,retrospective,2003-10,2013-08,"two centers (University of Trieste; Ospedale San Bassiano, Bassano del Grappa)",renal masses with equivocal enhancement at CT (10-20 HU difference) and echogenic/mixed appearance at gray-scale sonography; simple/minimally complicated cysts excluded,47,47,65,mean_sd,80.9,2.6,0.8-7.7,,,15,1,7,0.617,"histology (30/47, 64%: 28 surgery + 2 biopsy) or follow-up (>=3 years for IIF cysts, 5 years for 1 category III cyst; 2 patients disease progression = malignant)","original (Bosniak criteria for CEUS per Quaia 2008, Ascenti 2007)","['CT', 'CEUS']",various MDCT scanners,"['unenhanced', 'nephrographic (80-120s)']",,,"SonoVue (sulfur hexafluoride, Bracco)",0.05-0.21 (varied by equipment)
